Sample	Population code	Population	Superpopulation	Panel	N_individuals	Source_dataset
NA20581	TSI	Tuscan	European		105	
NA20582	TSI	Tuscan	European		105	
NA20585	TSI	Tuscan	European		105	
NA20586	TSI	Tuscan	European		105	
NA20587	TSI	Tuscan	European		105	
NA20588	TSI	Tuscan	European		105	
NA20589	TSI	Tuscan	European		105	
NA20752	TSI	Tuscan	European		105	
NA20753	TSI	Tuscan	European		105	
NA20754	TSI	Tuscan	European		105	
NA20755	TSI	Tuscan	European		105	
NA20756	TSI	Tuscan	European		105	
NA20757	TSI	Tuscan	European		105	
NA20758	TSI	Tuscan	European		105	
NA20759	TSI	Tuscan	European		105	
NA20760	TSI	Tuscan	European		105	
NA20761	TSI	Tuscan	European		105	
NA20762	TSI	Tuscan	European		105	
NA20763	TSI	Tuscan	European		105	
NA20764	TSI	Tuscan	European		105	
NA20765	TSI	Tuscan	European		105	
NA20766	TSI	Tuscan	European		105	
NA20767	TSI	Tuscan	European		105	
NA20768	TSI	Tuscan	European		105	
NA20769	TSI	Tuscan	European		105	
NA20770	TSI	Tuscan	European		105	
NA20771	TSI	Tuscan	European		105	
NA20772	TSI	Tuscan	European		105	
NA20773	TSI	Tuscan	European		105	
NA20774	TSI	Tuscan	European		105	
NA20775	TSI	Tuscan	European		105	
NA20778	TSI	Tuscan	European		105	
NA20783	TSI	Tuscan	European		105	
NA20785	TSI	Tuscan	European		105	
NA20786	TSI	Tuscan	European		105	
NA20787	TSI	Tuscan	European		105	
NA20790	TSI	Tuscan	European		105	
NA20792	TSI	Tuscan	European		105	
NA20795	TSI	Tuscan	European		105	
NA20796	TSI	Tuscan	European		105	
NA20797	TSI	Tuscan	European		105	
NA20798	TSI	Tuscan	European		105	
NA20799	TSI	Tuscan	European		105	
NA20800	TSI	Tuscan	European		105	
NA20801	TSI	Tuscan	European		105	
NA20802	TSI	Tuscan	European		105	
NA20803	TSI	Tuscan	European		105	
NA20804	TSI	Tuscan	European		105	
NA20805	TSI	Tuscan	European		105	
NA20806	TSI	Tuscan	European		105	
NA20807	TSI	Tuscan	European		105	
NA20808	TSI	Tuscan	European		105	
NA20809	TSI	Tuscan	European		105	
NA20810	TSI	Tuscan	European		105	
NA20811	TSI	Tuscan	European		105	
NA20812	TSI	Tuscan	European		105	
NA20813	TSI	Tuscan	European		105	
NA20814	TSI	Tuscan	European		105	
NA20815	TSI	Tuscan	European		105	
NA20818	TSI	Tuscan	European		105	
NA20819	TSI	Tuscan	European		105	
NA20821	TSI	Tuscan	European		105	
NA20822	TSI	Tuscan	European		105	
NA20826	TSI	Tuscan	European		105	
NA20827	TSI	Tuscan	European		105	
NA19118	YRI	Yoruba	African		108	
